hand,auction,wbridge5_bid,ben_sayc_bid
S:AK53 H:4 D:Q4 C:KT6543,1D Pass 1H 1S 2C Pass 2S Pass 3C Pass 5D,Pass,Pass
S:J74 H:KJ8753 D:965 C:7,1D Pass 1H 1S 2C Pass 2S Pass 3C Pass 5D Pass,Pass,6H
S:82 H:AQT62 D:AKJ C:A82,1D Pass 1H 1S 2C Pass 2S Pass 3C Pass 5D Pass Pass,Pass,X
S:AJT8 H:J2 D:K8753 C:74,,1C,Pass
S:Q96432 H:A73 D:AJ C:A6,1C,X,1S
S:K75 H:T984 D:QT9 C:QJ8,1C X,1H,1H
S: H:KQ65 D:642 C:KT9532,1C X 1H,Pass,X
S:AJT8 H:J2 D:K8753 C:74,1C X 1H Pass,2H,1S
S:Q96432 H:A73 D:AJ C:A6,1C X 1H Pass 2H,Pass,2S
S:K75 H:T984 D:QT9 C:QJ8,1C X 1H Pass 2H Pass,4H,Pass
S: H:KQ65 D:642 C:KT9532,1C X 1H Pass 2H Pass 4H,Pass,Pass
S:AJT8 H:J2 D:K8753 C:74,1C X 1H Pass 2H Pass 4H Pass,Pass,Pass
S:Q96432 H:A73 D:AJ C:A6,1C X 1H Pass 2H Pass 4H Pass Pass,Pass,Pass
S:K974 H:QT86 D:Q98 C:A5,,1C,Pass
S:85 H:A5 D:A54 C:KQJT43,1C,Pass,Pass
S:AT32 H:K32 D:K76 C:962,1C Pass,1S,1S
S:QJ6 H:J974 D:JT32 C:87,1C Pass 1S,Pass,Pass
S:K974 H:QT86 D:Q98 C:A5,1C Pass 1S Pass,2C,2S
S:85 H:A5 D:A54 C:KQJT43,1C Pass 1S Pass 2C,Pass,Pass
S:AT32 H:K32 D:K76 C:962,1C Pass 1S Pass 2C Pass,3C,Pass
S:QJ6 H:J974 D:JT32 C:87,1C Pass 1S Pass 2C Pass 3C,Pass,Pass
S:K974 H:QT86 D:Q98 C:A5,1C Pass 1S Pass 2C Pass 3C Pass,3S,3S
S:85 H:A5 D:A54 C:KQJT43,1C Pass 1S Pass 2C Pass 3C Pass 3S,Pass,Pass
S:AT32 H:K32 D:K76 C:962,1C Pass 1S Pass 2C Pass 3C Pass 3S Pass,4S,Pass
S:QJ6 H:J974 D:JT32 C:87,1C Pass 1S Pass 2C Pass 3C Pass 3S Pass 4S,Pass,Pass
S:K974 H:QT86 D:Q98 C:A5,1C Pass 1S Pass 2C Pass 3C Pass 3S Pass 4S Pass,Pass,Pass
S:85 H:A5 D:A54 C:KQJT43,1C Pass 1S Pass 2C Pass 3C Pass 3S Pass 4S Pass Pass,Pass,Pass
S:JT8 H:AKQ982 D:A4 C:Q3,,1D,1H
S:AK972 H:J64 D:K7 C:975,1D,X,1S
S:Q6 H:T753 D:Q8653 C:K4,1D X,2S,1H
S:543 H: D:JT92 C:AJT862,1D X 2S,Pass,3C
S:JT8 H:AKQ982 D:A4 C:Q3,1D X 2S Pass,Pass,4H
S:AK972 H:J64 D:K7 C:975,1D X 2S Pass Pass,Pass,Pass
S:52 H:8632 D:AJT C:K974,,Pass,Pass
S:A843 H:JT75 D:K986 C:Q,Pass,Pass,Pass
S:JT96 H:A9 D:742 C:AT82,Pass Pass,1C,Pass
S:KQ7 H:KQ4 D:Q53 C:J653,Pass Pass 1C,Pass,X
S:52 H:8632 D:AJT C:K974,Pass Pass 1C Pass,Pass,1H
S:A843 H:JT75 D:K986 C:Q,Pass Pass 1C Pass Pass,1NT,X
S:JT96 H:A9 D:742 C:AT82,Pass Pass 1C Pass Pass 1NT,Pass,Pass
S:KQ7 H:KQ4 D:Q53 C:J653,Pass Pass 1C Pass Pass 1NT Pass,3NT,2NT
S:52 H:8632 D:AJT C:K974,Pass Pass 1C Pass Pass 1NT Pass 3NT,Pass,Pass
S:A843 H:JT75 D:K986 C:Q,Pass Pass 1C Pass Pass 1NT Pass 3NT Pass,Pass,Pass
S:JT96 H:A9 D:742 C:AT82,Pass Pass 1C Pass Pass 1NT Pass 3NT Pass Pass,Pass,Pass
S:AKJT82 H:A632 D:J C:Q8,,2C,1S
S:53 H:K84 D:K2 C:JT9762,2C,Pass,Pass
S:Q H:J75 D:AQ8754 C:AK5,2C Pass,2D,3D
S:9764 H:QT9 D:T963 C:43,2C Pass 2D,Pass,Pass
S:AKJT82 H:A632 D:J C:Q8,2C Pass 2D Pass,2H,2S
S:53 H:K84 D:K2 C:JT9762,2C Pass 2D Pass 2H,Pass,Pass
S:Q H:J75 D:AQ8754 C:AK5,2C Pass 2D Pass 2H Pass,2S,4NT
S:9764 H:QT9 D:T963 C:43,2C Pass 2D Pass 2H Pass 2S,Pass,Pass
S:AKJT82 H:A632 D:J C:Q8,2C Pass 2D Pass 2H Pass 2S Pass,3S,4S
S:53 H:K84 D:K2 C:JT9762,2C Pass 2D Pass 2H Pass 2S Pass 3S,Pass,Pass
S:Q H:J75 D:AQ8754 C:AK5,2C Pass 2D Pass 2H Pass 2S Pass 3S Pass,4D,4D
S:9764 H:QT9 D:T963 C:43,2C Pass 2D Pass 2H Pass 2S Pass 3S Pass 4D,Pass,Pass
S:AKJT82 H:A632 D:J C:Q8,2C Pass 2D Pass 2H Pass 2S Pass 3S Pass 4D Pass,4NT,4S
S:53 H:K84 D:K2 C:JT9762,2C Pass 2D Pass 2H Pass 2S Pass 3S Pass 4D Pass 4NT,Pass,Pass
